city,risk_type,risk_level,metric_value,definition
dublin,core_extended_balance,3,0.8546895640686922,imbalance liczby origin miedzy core a extended
paris,core_extended_balance,3,0.9322738996588734,imbalance liczby origin miedzy core a extended
warsaw,core_extended_balance,3,0.8295830575777631,imbalance liczby origin miedzy core a extended
dublin,employment_proxy,1,,"metodologiczny poziom proxy zatrudnienia (Dublin=1, Paris=2, Warsaw=3)"
paris,employment_proxy,2,,"metodologiczny poziom proxy zatrudnienia (Dublin=1, Paris=2, Warsaw=3)"
warsaw,employment_proxy,3,,"metodologiczny poziom proxy zatrudnienia (Dublin=1, Paris=2, Warsaw=3)"
dublin,jobs_data_availability,1,1.0,udzial nie-null jobs/employment
paris,jobs_data_availability,3,,udzial nie-null jobs/employment
warsaw,jobs_data_availability,1,1.0,udzial nie-null jobs/employment
dublin,socio_data_availability,1,0.9947940434730396,najlepszy udzial danych spoleczno-ekonomicznych (income/wealth)
paris,socio_data_availability,1,0.9963391297112905,najlepszy udzial danych spoleczno-ekonomicznych (income/wealth)
warsaw,socio_data_availability,2,0.4768265727705564,najlepszy udzial danych spoleczno-ekonomicznych (income/wealth)
dublin,temporal_asynchrony,2,,GTFS vs dane spoleczno-ekonomiczne z roznych lat
paris,temporal_asynchrony,2,,GTFS vs dane spoleczno-ekonomiczne z roznych lat
warsaw,temporal_asynchrony,2,,GTFS vs dane spoleczno-ekonomiczne z roznych lat
