stage,stage_label,city_variant,city,extent,base_dir_exists,metadata_coverage_pct,run_info_json,summary_md,inventory_csv,artifacts_index_json
etap2,Etap II (topologia),dublin_core,dublin,core,True,50.0,True,False,True,False
etap2,Etap II (topologia),dublin_extended,dublin,extended,True,50.0,True,False,True,False
etap2,Etap II (topologia),paris_core,paris,core,True,50.0,True,False,True,False
etap2,Etap II (topologia),paris_extended,paris,extended,True,50.0,True,False,True,False
etap2,Etap II (topologia),warsaw_core,warsaw,core,True,50.0,True,False,True,False
etap2,Etap II (topologia),warsaw_extended,warsaw,extended,True,50.0,True,False,True,False
etap3,Etap III (WTC/GTC),dublin_core,dublin,core,True,0.0,False,False,False,False
etap3,Etap III (WTC/GTC),dublin_extended,dublin,extended,True,0.0,False,False,False,False
etap3,Etap III (WTC/GTC),paris_core,paris,core,True,0.0,False,False,False,False
etap3,Etap III (WTC/GTC),paris_extended,paris,extended,True,0.0,False,False,False,False
etap3,Etap III (WTC/GTC),warsaw_core,warsaw,core,True,0.0,False,False,False,False
etap3,Etap III (WTC/GTC),warsaw_extended,warsaw,extended,True,0.0,False,False,False,False
etap4,Etap IV (modele beta),dublin_core,dublin,core,True,0.0,False,False,False,False
etap4,Etap IV (modele beta),dublin_extended,dublin,extended,True,0.0,False,False,False,False
etap4,Etap IV (modele beta),paris_core,paris,core,True,0.0,False,False,False,False
etap4,Etap IV (modele beta),paris_extended,paris,extended,True,0.0,False,False,False,False
etap4,Etap IV (modele beta),warsaw_core,warsaw,core,True,0.0,False,False,False,False
etap4,Etap IV (modele beta),warsaw_extended,warsaw,extended,True,0.0,False,False,False,False
etap5,Etap V (equity),dublin_core,dublin,core,True,0.0,False,False,False,False
etap5,Etap V (equity),dublin_extended,dublin,extended,True,0.0,False,False,False,False
etap5,Etap V (equity),paris_core,paris,core,True,0.0,False,False,False,False
etap5,Etap V (equity),paris_extended,paris,extended,True,0.0,False,False,False,False
etap5,Etap V (equity),warsaw_core,warsaw,core,True,0.0,False,False,False,False
etap5,Etap V (equity),warsaw_extended,warsaw,extended,True,0.0,False,False,False,False
