city_variant,diff_pair,n,q05,q50,q95,share_negative
dublin_core,A (β=0.03) - B (β=0.15),109,71774.5805873636,122544.37463084002,205747.44214056068,0.0
dublin_core,A (β=0.03) - C (β=dynamic),109,0.0,104919.145089741,185464.2386067391,0.0
dublin_core,B (β=0.15) - C (β=dynamic),109,-109707.45529622641,-11626.133308083663,0.0,0.7981651376146789
dublin_extended,A (β=0.03) - B (β=0.15),751,74.95409549278554,89242.90479038256,259275.53859373188,0.0
dublin_extended,A (β=0.03) - C (β=dynamic),751,0.0,48954.991427705,236396.13192056492,0.0
dublin_extended,B (β=0.15) - C (β=dynamic),751,-179796.69277671233,-1103.1544707679868,0.0,0.8042609853528628
paris_core,A (β=0.03) - B (β=0.15),809,622542.3223839109,1778765.1446530134,3673663.4434678787,0.0
paris_core,A (β=0.03) - C (β=dynamic),809,0.0,1441050.56861837,3564546.4408217072,0.0
paris_core,B (β=0.15) - C (β=dynamic),809,-2093670.579511684,-89369.51931282568,0.0,0.799752781211372
paris_extended,A (β=0.03) - B (β=0.15),11526,121.52280591594382,250229.98165258113,2200127.65458397,0.0
paris_extended,A (β=0.03) - C (β=dynamic),11526,0.0,127897.49212680719,1487518.642315684,0.0
paris_extended,B (β=0.15) - C (β=dynamic),11526,-1218849.578065366,-142.45490954721646,0.0,0.8030539649488114
warsaw_core,A (β=0.03) - B (β=0.15),485,136537.0512525323,303659.6869127597,591276.4616695647,0.0
warsaw_core,A (β=0.03) - C (β=dynamic),485,0.0,263461.48117746,591276.4616695647,0.0
warsaw_core,B (β=0.15) - C (β=dynamic),485,-262178.89071620407,-14328.866012605518,0.0,0.8288659793814434
warsaw_extended,A (β=0.03) - B (β=0.15),2127,29302.981286915063,151298.14994214912,688016.8943811457,0.0
warsaw_extended,A (β=0.03) - C (β=dynamic),2127,849.4810277489943,136334.79123982828,662535.7450584632,0.0
warsaw_extended,B (β=0.15) - C (β=dynamic),2127,-88762.84532309306,-1240.0094841989317,-0.08473339510100279,0.9595674659144334
