city_variant,city,extent,model,flow_col,n_total_rows,n_valid_rows,min,mean,p50,p90,p95,p99,max,solver_mode,ipf_converged,ipf_iterations,ipf_marginal_err_p95,ipf_marginal_err_wmean,ipf_marginal_err_max,qa_p90_ge_p50,qa_p95_ge_p90,qa_p99_ge_p95,qa_nonnegative_min,qa_nonnegative_ipf_iter,qa_nonnegative_ipf_err,qa_ipf_converged
dublin_core,dublin,core,A,T_ij,13191,13191,1.4801928601024662e-06,43.23440897594416,13.402800446645616,94.45673031972166,192.91891075075105,489.77004862693565,2611.822435518302,doubly_constrained,True,20,1.6279279205851857e-05,1.6252060853631805e-05,0.0637642927124451,True,True,True,True,True,True,True
dublin_core,dublin,core,B,T_ij,13191,13191,3.396366096372051e-13,43.23440897594416,0.3496600529612698,73.9096123111524,231.9948655484555,885.7072573408499,5930.816049865137,doubly_constrained,True,20,0.00020502672733839608,5.051546667424748e-05,0.16270564482523323,True,True,True,True,True,True,True
dublin_core,dublin,core,C,T_ij,13191,13191,3.28027931852938e-11,43.23440897594416,4.463691911002467,98.97842020138886,209.57574389037538,679.8667566515929,4097.535058978354,doubly_constrained,True,20,1.6768170842610993e-05,1.6406467236830936e-05,0.06642442751478976,True,True,True,True,True,True,True
dublin_extended,dublin,extended,A,T_ij,428928,428928,1.3050390113831903e-11,3.3071737191801454,0.14677908889188454,7.466211986984469,16.59857106577552,68.7364533228198,2380.507745009954,doubly_constrained,True,20,0.015374378606532266,0.0004263261753024292,0.1269281022241571,True,True,True,True,True,True,True
dublin_extended,dublin,extended,B,T_ij,428928,428928,2.475088145318805e-27,3.307361983021794,1.982760360335231e-05,0.3177429050753316,4.0045354717602955,44.71685087210912,6338.578741483631,doubly_constrained,True,80,0.00921534152901949,0.00044031777808010986,0.28671511597235894,True,True,True,True,True,True,True
dublin_extended,dublin,extended,C,T_ij,428928,428928,5.1939033315437975e-19,3.3073665293639425,0.0031102423476105996,3.1880442883721054,9.871636945970026,58.862285592068744,4080.631826671392,doubly_constrained,True,40,0.007752681120114433,0.0002924854526871034,0.12609513846824716,True,True,True,True,True,True,True
paris_core,paris,core,A,T_ij,590728,590728,5.4429728069422246e-05,22.143555090365123,2.84355872300479,34.907283490307556,69.24101748669308,194.3798689346728,4308.035648789367,doubly_constrained,True,20,8.438085840886553e-06,8.339697341039816e-06,0.02658613000053561,True,True,True,True,True,True,True
paris_core,paris,core,B,T_ij,590728,590728,3.0816508291381274e-14,22.143555090365105,0.03002735631386909,11.047307591699896,41.944050939557336,361.8782728314695,14324.517755236153,doubly_constrained,True,20,0.0010596470524159938,0.0001495034283828753,0.011532850887202914,True,True,True,True,True,True,True
paris_core,paris,core,C,T_ij,590728,590728,9.775362702461904e-12,22.143555090365115,0.6379326338175682,26.114319838592973,60.14300178457982,225.21021559414044,12822.63285599588,doubly_constrained,True,20,1.2257071621968584e-05,8.528297910330282e-06,0.024449824729898942,True,True,True,True,True,True,True
paris_extended,paris,extended,A,T_ij,24758016,24758016,1.4606173759411958e-10,0.9055019369036883,0.02790026100155113,0.9493539910177541,2.561928212718496,14.996004374057094,13453.08059738822,doubly_constrained,True,20,0.0002993384945120464,0.00015034072300509403,0.27064937989852617,True,True,True,True,True,True,True
paris_extended,paris,extended,B,T_ij,24758016,24758016,3.693138404164979e-35,19613.71423924965,1.094012263817152e-05,0.26038361634280954,4.7283918162083065,1875.2499502914754,2022540343.4195943,doubly_constrained_max_iter,False,1500,3707.97336655286,21659.66722583349,262058.53895116516,True,True,True,True,True,True,False
paris_extended,paris,extended,C,T_ij,24758016,24758016,1.248313481726983e-35,368016.4145237208,0.017794916716310963,10190.408536151748,135779.3282858907,5005506.065810768,4415333396.952289,doubly_constrained_max_iter,False,1500,564774.215847619,406421.64081333525,2086663.1586335793,True,True,True,True,True,True,False
warsaw_core,warsaw,core,A,T_ij,247685,247685,4.898576241144832e-12,7.474001251589723,0.7140750064838096,14.171097280162611,28.766880291523368,104.01494854939939,1173.1383562735352,doubly_constrained,True,6,0.05517063839660367,0.009400201451461273,0.1273081979845781,True,True,True,True,True,True,True
warsaw_core,warsaw,core,B,T_ij,247685,247685,8.643534282844125e-19,7.479181232422853,0.006752172272085978,2.7364378369982605,12.439135700911471,112.7719339258867,3397.2749488950053,doubly_constrained,True,60,0.0006999520484311532,0.0006950453439804806,0.032131561683795336,True,True,True,True,True,True,True
warsaw_core,warsaw,core,C,T_ij,247685,247685,1.5993582082133488e-13,7.474001251589721,0.15387280953469118,5.526494272713983,16.211243987320064,107.65231729335379,2996.892387310509,doubly_constrained,True,20,9.175982861969313e-06,2.379810006168366e-06,1.8143911674221825e-05,True,True,True,True,True,True,True
warsaw_extended,warsaw,extended,A,T_ij,1202651,1202651,3.507689082601909e-17,2.372811697998792,0.11392393939407171,3.0281150891399027,7.4214307553293075,41.679642979463395,1191.3191877661732,doubly_constrained,True,20,5.675783981157154e-06,5.616918244251571e-06,0.020935225801092097,True,True,True,True,True,True,True
warsaw_extended,warsaw,extended,B,T_ij,1202651,1202651,3.762202464997979e-25,2.3728215691234307,0.0015133214108653237,0.9444975487587608,3.804297633100838,29.873303861976837,3489.4256384786663,doubly_constrained,True,20,0.00045650199735543056,9.315620941130319e-05,0.017149004755014415,True,True,True,True,True,True,True
warsaw_extended,warsaw,extended,C,T_ij,1202651,1202651,3.6771126061603106e-20,2.372811697998792,0.03151352209952759,1.8211048993144876,5.463956073922259,31.400238647820693,3132.113651559672,doubly_constrained,True,20,4.015255397796541e-06,2.6716392457795375e-06,0.00992295358630931,True,True,True,True,True,True,True
