city_variant,city,extent,profile,metric_col,n_total_rows,n_valid_rows,unreachable_share,min,p50,p75,p90,p95,max,share_under_30,share_under_45,share_under_60,quantile_method
dublin_core,dublin,core,evening,cost_min_strict,14190,13065,0.07928118393234673,0.0,65.0,77.0,92.0,99.0,134.0,0.12445464982778416,0.1866054343666284,0.5230003827018752,reservoir_sample_2000
dublin_core,dublin,core,midday_offpeak,cost_min_strict,14190,13066,0.0792107117688513,0.0,66.0,79.0,94.0,100.0,135.0,0.11862850145415582,0.17863156283483853,0.4909689269860707,reservoir_sample_2000
dublin_core,dublin,core,morning_peak,cost_min_strict,14190,13066,0.0792107117688513,0.0,65.0,78.0,95.0,103.0,136.0,0.11763355273228226,0.17756007959589776,0.5106382978723404,reservoir_sample_2000
dublin_extended,dublin,extended,evening,cost_min_strict,643450,412308,0.3592229388452871,0.0,117.0,143.0,163.0,174.0,194.0,0.020004462683236805,0.03017161927491099,0.10305645294294556,reservoir_sample_4000
dublin_extended,dublin,extended,midday_offpeak,cost_min_strict,643450,413454,0.35744191467868525,0.0,120.0,144.0,167.0,177.0,194.0,0.01892834511215274,0.02815307144204676,0.09500210422441191,reservoir_sample_4000
dublin_extended,dublin,extended,morning_peak,cost_min_strict,643450,428092,0.334692672313311,0.0,119.0,145.0,167.0,177.0,194.0,0.017732169720527362,0.02611821757939882,0.09342384347289835,reservoir_sample_4000
paris_core,paris,core,evening,cost_min_strict,662596,652307,0.015528315896866318,0.0,91.0,109.0,124.0,134.0,194.0,0.028143190246310405,0.04744085223675355,0.211605884959076,reservoir_sample_4000
paris_core,paris,core,midday_offpeak,cost_min_strict,662596,652155,0.01575771661766745,0.0,93.0,111.0,128.0,138.0,194.0,0.026119557467166547,0.04360006440186765,0.19314426785043434,reservoir_sample_4000
paris_core,paris,core,morning_peak,cost_min_strict,662596,652869,0.014680136916009112,0.0,92.0,108.0,124.0,135.0,194.0,0.026654658132029548,0.04520202368315849,0.2021814483456865,reservoir_sample_4000
paris_extended,paris,extended,evening,cost_min_strict,144456361,19707271,0.8635763017732393,0.0,161.0,181.0,189.0,192.0,194.0,0.005871031052447596,0.008246144278423939,0.02627613940052887,reservoir_sample_80000
paris_extended,paris,extended,midday_offpeak,cost_min_strict,144456361,24668427,0.8292326704810181,0.0,166.0,181.0,189.0,192.0,194.0,0.00439456476085808,0.005956926236115501,0.01643367856410139,reservoir_sample_80000
paris_extended,paris,extended,morning_peak,cost_min_strict,144456361,33908082,0.7652711049532807,0.0,166.0,182.0,190.0,192.0,194.0,0.003305672081363965,0.004601911721223277,0.01454429065023495,reservoir_sample_80000
warsaw_core,warsaw,core,evening,cost_min_strict,265225,261640,0.013516825336978067,0.0,79.0,100.0,116.0,124.0,182.0,0.04301712276410335,0.07130790399021557,0.279016969882281,reservoir_sample_2000
warsaw_core,warsaw,core,midday_offpeak,cost_min_strict,265225,261640,0.013516825336978067,0.0,80.0,102.0,118.0,127.0,185.0,0.040257605870661975,0.06675966977526372,0.26411481424858585,reservoir_sample_2000
warsaw_core,warsaw,core,morning_peak,cost_min_strict,265225,262508,0.010244132340465617,0.0,76.0,98.0,114.0,123.0,194.0,0.044836728785408446,0.07471391348073202,0.296783336126899,reservoir_sample_2000
warsaw_extended,warsaw,extended,evening,cost_min_strict,9132484,4008466,0.56107604458984,0.0,144.0,169.0,183.0,188.0,194.0,0.008133535372384348,0.01167953027417471,0.04113693367986656,reservoir_sample_38000
warsaw_extended,warsaw,extended,midday_offpeak,cost_min_strict,9132484,3916334,0.5711644279913329,0.0,148.0,172.0,185.0,190.0,194.0,0.007983231256578219,0.011341218598822266,0.03821277756187291,reservoir_sample_38000
warsaw_extended,warsaw,extended,morning_peak,cost_min_strict,9132484,4376438,0.5207833925578189,0.0,140.0,165.0,181.0,188.0,194.0,0.007785098292264166,0.011443552953337852,0.04308481006699969,reservoir_sample_38000
