city_variant,city,extent,profile,in_vehicle_proxy_min,transfer_penalty_min,other_extra_min,wtc_minus_ivt_total_min
dublin_core,dublin,core,evening,52.871259089169534,8.035973976272484,3.552713678800501e-15,8.035973976272487
dublin_core,dublin,core,midday_offpeak,54.23534363998163,8.25424766569723,5.329070518200751e-15,8.254247665697235
dublin_core,dublin,core,morning_peak,53.82634318077453,8.219041787846319,3.552713678800501e-15,8.219041787846322
dublin_extended,dublin,extended,evening,100.29097664852489,13.290270865469504,5.329070518200751e-15,13.290270865469509
dublin_extended,dublin,extended,midday_offpeak,103.16220425972418,13.441507398646523,-1.7763568394002505e-15,13.441507398646522
dublin_extended,dublin,extended,morning_peak,102.56967894751595,13.427125477701056,-1.7763568394002505e-15,13.427125477701054
paris_core,paris,core,evening,73.1212051993923,11.412525084047848,8.881784197001252e-15,11.412525084047857
paris_core,paris,core,midday_offpeak,75.45703858745237,11.684499850495664,-8.881784197001252e-15,11.684499850495655
paris_core,paris,core,morning_peak,73.70720466127202,11.50909294207567,-1.7763568394002505e-15,11.509092942075668
paris_extended,paris,extended,evening,126.89525799893856,14.47045280901653,-8.881784197001252e-15,14.470452809016521
paris_extended,paris,extended,midday_offpeak,135.53595744065888,14.668708304749224,-2.1316282072803006e-14,14.668708304749202
paris_extended,paris,extended,morning_peak,135.36111620822433,14.690824447103791,1.5987211554602254e-14,14.690824447103807
warsaw_core,warsaw,core,evening,69.07081486011313,10.77289405289711,5.329070518200751e-15,10.772894052897115
warsaw_core,warsaw,core,midday_offpeak,70.74725194924324,10.980985323345054,-1.7763568394002505e-15,10.980985323345053
warsaw_core,warsaw,core,morning_peak,67.78218949517729,10.554478339707742,0.0,10.554478339707742
warsaw_extended,warsaw,extended,evening,121.70916180903119,14.248565411306968,-1.2434497875801753e-14,14.248565411306956
warsaw_extended,warsaw,extended,midday_offpeak,123.96522079066801,14.298587658764548,-1.7763568394002505e-15,14.298587658764546
warsaw_extended,warsaw,extended,morning_peak,119.02649300641298,14.196746303729197,-1.2434497875801753e-14,14.196746303729185
