city_variant,city,extent,profile,cost_col,mean_wtc,p50_wtc,p90_wtc,mean_ivt,delta_mean_wtc_minus_ivt,uplift_pct_vs_ivt,transfer_penalty_mean,walk_fill_share,n_valid_rows,quantile_method
dublin_core,dublin,core,evening,cost_min_strict,60.90723306544202,65.0,92.0,52.871259089169534,8.035973976272487,15.19913486970206,8.035973976272484,0.0,13065,reservoir_sample_2000
dublin_core,dublin,core,midday_offpeak,cost_min_strict,62.489591305678864,66.0,94.0,54.23534363998163,8.254247665697235,15.2193147709906,8.25424766569723,0.0,13066,reservoir_sample_2000
dublin_core,dublin,core,morning_peak,cost_min_strict,62.04538496862085,65.0,95.0,53.82634318077453,8.219041787846322,15.269552605947725,8.219041787846319,0.0,13066,reservoir_sample_2000
dublin_extended,dublin,extended,evening,cost_min_strict,113.5812475139944,117.0,163.0,100.29097664852489,13.290270865469509,13.251711479534173,13.290270865469504,0.0,412308,reservoir_sample_4000
dublin_extended,dublin,extended,midday_offpeak,cost_min_strict,116.6037116583707,120.0,167.0,103.16220425972418,13.441507398646522,13.029488362623379,13.441507398646523,0.0,413454,reservoir_sample_4000
dublin_extended,dublin,extended,morning_peak,cost_min_strict,115.99680442521701,119.0,167.0,102.56967894751595,13.427125477701054,13.090735600890008,13.427125477701056,0.0,428092,reservoir_sample_4000
paris_core,paris,core,evening,cost_min_strict,84.53373028344016,91.0,124.0,73.1212051993923,11.412525084047857,15.60768186592021,11.412525084047848,0.0,652307,reservoir_sample_4000
paris_core,paris,core,midday_offpeak,cost_min_strict,87.14153843794803,93.0,128.0,75.45703858745237,11.684499850495655,15.484970082616853,11.684499850495664,0.0,652155,reservoir_sample_4000
paris_core,paris,core,morning_peak,cost_min_strict,85.21629760334768,92.0,124.0,73.70720466127202,11.509092942075668,15.61461053226306,11.50909294207567,0.0,652869,reservoir_sample_4000
paris_extended,paris,extended,evening,cost_min_strict,141.36571080795508,161.0,189.0,126.89525799893856,14.470452809016521,11.403462223259409,14.47045280901653,0.0,19707271,reservoir_sample_80000
paris_extended,paris,extended,midday_offpeak,cost_min_strict,150.20466574540808,166.0,189.0,135.53595744065888,14.668708304749202,10.822742969275543,14.668708304749224,0.0,24668427,reservoir_sample_80000
paris_extended,paris,extended,morning_peak,cost_min_strict,150.05194065532814,166.0,190.0,135.36111620822433,14.690824447103807,10.853060951791424,14.690824447103791,0.0,33908082,reservoir_sample_80000
warsaw_core,warsaw,core,evening,cost_min_strict,79.84370891301025,79.0,116.0,69.07081486011313,10.772894052897115,15.596882814709955,10.77289405289711,0.0,261640,reservoir_sample_2000
warsaw_core,warsaw,core,midday_offpeak,cost_min_strict,81.72823727258829,80.0,118.0,70.74725194924324,10.980985323345053,15.521430190989225,10.980985323345054,0.0,261640,reservoir_sample_2000
warsaw_core,warsaw,core,morning_peak,cost_min_strict,78.33666783488503,76.0,114.0,67.78218949517729,10.554478339707742,15.571167615437819,10.554478339707742,0.0,262508,reservoir_sample_2000
warsaw_extended,warsaw,extended,evening,cost_min_strict,135.95772722033814,144.0,183.0,121.70916180903119,14.248565411306956,11.707060667843388,14.248565411306968,0.0,4008466,reservoir_sample_38000
warsaw_extended,warsaw,extended,midday_offpeak,cost_min_strict,138.26380844943256,148.0,185.0,123.96522079066801,14.298587658764546,11.534354206418621,14.298587658764548,0.0,3916334,reservoir_sample_38000
warsaw_extended,warsaw,extended,morning_peak,cost_min_strict,133.22323931014216,140.0,181.0,119.02649300641298,14.196746303729185,11.927383513655473,14.196746303729197,0.0,4376438,reservoir_sample_38000
