city_variant,city,extent,profile,metric_col,n_total_rows,n_valid_rows,unreachable_share,min,p50,p75,p90,p95,max,share_under_30,share_under_45,share_under_60,quantile_method,qa_p90_ge_p50,qa_p95_ge_p90,qa_share_range_30,qa_share_range_45,qa_share_range_60,qa_unreachable_range
dublin_core,dublin,core,evening,cost_min_strict,14190,13065,0.0792811839323467,0.0,65.0,77.0,92.0,99.0,134.0,0.1244546498277841,0.1866054343666284,0.5230003827018752,reservoir_sample_2000,True,True,True,True,True,True
dublin_core,dublin,core,midday_offpeak,cost_min_strict,14190,13066,0.0792107117688513,0.0,66.0,79.0,94.0,100.0,135.0,0.1186285014541558,0.1786315628348385,0.4909689269860707,reservoir_sample_2000,True,True,True,True,True,True
dublin_core,dublin,core,morning_peak,cost_min_strict,14190,13066,0.0792107117688513,0.0,65.0,78.0,95.0,103.0,136.0,0.1176335527322822,0.1775600795958977,0.5106382978723404,reservoir_sample_2000,True,True,True,True,True,True
dublin_extended,dublin,extended,evening,cost_min_strict,643450,412308,0.3592229388452871,0.0,117.0,143.0,163.0,174.0,194.0,0.0200044626832368,0.0301716192749109,0.1030564529429455,reservoir_sample_4000,True,True,True,True,True,True
dublin_extended,dublin,extended,midday_offpeak,cost_min_strict,643450,413454,0.3574419146786852,0.0,120.0,144.0,167.0,177.0,194.0,0.0189283451121527,0.0281530714420467,0.0950021042244119,reservoir_sample_4000,True,True,True,True,True,True
dublin_extended,dublin,extended,morning_peak,cost_min_strict,643450,428092,0.334692672313311,0.0,119.0,145.0,167.0,177.0,194.0,0.0177321697205273,0.0261182175793988,0.0934238434728983,reservoir_sample_4000,True,True,True,True,True,True
paris_core,paris,core,evening,cost_min_strict,662596,652307,0.0155283158968663,0.0,91.0,109.0,124.0,134.0,194.0,0.0281431902463104,0.0474408522367535,0.211605884959076,reservoir_sample_4000,True,True,True,True,True,True
paris_core,paris,core,midday_offpeak,cost_min_strict,662596,652155,0.0157577166176674,0.0,93.0,111.0,128.0,138.0,194.0,0.0261195574671665,0.0436000644018676,0.1931442678504343,reservoir_sample_4000,True,True,True,True,True,True
paris_core,paris,core,morning_peak,cost_min_strict,662596,652869,0.0146801369160091,0.0,92.0,108.0,124.0,135.0,194.0,0.0266546581320295,0.0452020236831584,0.2021814483456865,reservoir_sample_4000,True,True,True,True,True,True
paris_extended,paris,extended,evening,cost_min_strict,144456361,19707271,0.8635763017732393,0.0,161.0,181.0,189.0,192.0,194.0,0.0058710310524475,0.0082461442784239,0.0262761394005288,reservoir_sample_80000,True,True,True,True,True,True
paris_extended,paris,extended,midday_offpeak,cost_min_strict,144456361,24668427,0.8292326704810181,0.0,166.0,181.0,189.0,192.0,194.0,0.004394564760858,0.0059569262361155,0.0164336785641013,reservoir_sample_80000,True,True,True,True,True,True
paris_extended,paris,extended,morning_peak,cost_min_strict,144456361,33908082,0.7652711049532807,0.0,166.0,182.0,190.0,192.0,194.0,0.0033056720813639,0.0046019117212232,0.0145442906502349,reservoir_sample_80000,True,True,True,True,True,True
warsaw_core,warsaw,core,evening,cost_min_strict,265225,261640,0.013516825336978,0.0,79.0,100.0,116.0,124.0,182.0,0.0430171227641033,0.0713079039902155,0.279016969882281,reservoir_sample_2000,True,True,True,True,True,True
warsaw_core,warsaw,core,midday_offpeak,cost_min_strict,265225,261640,0.013516825336978,0.0,80.0,102.0,118.0,127.0,185.0,0.0402576058706619,0.0667596697752637,0.2641148142485858,reservoir_sample_2000,True,True,True,True,True,True
warsaw_core,warsaw,core,morning_peak,cost_min_strict,265225,262508,0.0102441323404656,0.0,76.0,98.0,114.0,123.0,194.0,0.0448367287854084,0.074713913480732,0.296783336126899,reservoir_sample_2000,True,True,True,True,True,True
warsaw_extended,warsaw,extended,evening,cost_min_strict,9132484,4008466,0.56107604458984,0.0,144.0,169.0,183.0,188.0,194.0,0.0081335353723843,0.0116795302741747,0.0411369336798665,reservoir_sample_38000,True,True,True,True,True,True
warsaw_extended,warsaw,extended,midday_offpeak,cost_min_strict,9132484,3916334,0.5711644279913329,0.0,148.0,172.0,185.0,190.0,194.0,0.0079832312565782,0.0113412185988222,0.0382127775618729,reservoir_sample_38000,True,True,True,True,True,True
warsaw_extended,warsaw,extended,morning_peak,cost_min_strict,9132484,4376438,0.5207833925578189,0.0,140.0,165.0,181.0,188.0,194.0,0.0077850982922641,0.0114435529533378,0.0430848100669996,reservoir_sample_38000,True,True,True,True,True,True
